post_title,datetime,sentiment_scores,sentiment,topic
Andrew Giles released four people from immigration detention without strictest conditions,2024-06-24T15:00:42Z,-0.3612,negative,key individuals
Andrew Giles released four people from immigration detention without strictest conditions,2024-06-24T15:00:42Z,-0.3612,negative,immigration policy
Andrew Giles released four people from immigration detention without strictest conditions,2024-06-24T15:00:42Z,-0.3612,negative,detention policy
Australia’s immigration minister suppresses details about electronic monitoring of former detainees,2024-05-07T15:00:20Z,0.0,neutral,migration policy suppresses details
Immigration minister re-cancels visa of alleged murderer released after AAT ruling,2024-05-28T08:07:50Z,-0.6808,negative,visa policy
Immigration minister re-cancels visa of alleged murderer released after AAT ruling,2024-05-28T08:07:50Z,-0.6808,negative,legal issues
"Boost drug search powers, make immigration detention ‘last resort’, watchdog says",2024-04-21T20:00:05Z,0.0516,negative,customs
"Boost drug search powers, make immigration detention ‘last resort’, watchdog says",2024-04-21T20:00:05Z,0.0516,negative,immigration policy
"Boost drug search powers, make immigration detention ‘last resort’, watchdog says",2024-04-21T20:00:05Z,0.0516,negative,legal issues
"Dutton’s plan to cut immigration would cost Australia’s economy ‘billions’, treasurer says",2024-05-19T04:07:13Z,-0.1531,negative,government policy
"Dutton’s plan to cut immigration would cost Australia’s economy ‘billions’, treasurer says",2024-05-19T04:07:13Z,-0.1531,negative,economy
Immigration debate continues – as it happened,2023-11-30T07:02:24Z,0.0,neutral,migration policy
Andrew Giles backs away from claim drones being used to track released immigration detainees,2024-06-03T05:43:55Z,-0.0516,negative,key individuals
Andrew Giles backs away from claim drones being used to track released immigration detainees,2024-06-03T05:43:55Z,-0.0516,negative,controversies
Andrew Giles backs away from claim drones being used to track released immigration detainees,2024-06-03T05:43:55Z,-0.0516,negative,immigration detainees
"Drones used to track immigration detainees released after high court decision, Andrew Giles reveals",2024-05-30T05:14:19Z,0.0,neutral,detention policy
"Drones used to track immigration detainees released after high court decision, Andrew Giles reveals",2024-05-30T05:14:19Z,0.0,neutral,government policy
Minister was warned of ‘increased’ legal risks of immigration detention in 2022,2024-04-11T15:00:28Z,-0.6369,negative,legal issues
Minister was warned of ‘increased’ legal risks of immigration detention in 2022,2024-04-11T15:00:28Z,-0.6369,negative,immigration policy
Refugee Sayed Abdellatif freed after almost 12 years in Australian immigration detention,2024-04-09T06:49:31Z,0.0516,negative,australian immigration policy
Operation Zufolo: Australia deployed a ‘charade’ to sustain indefinite immigration detention – it failed,2024-04-27T00:00:20Z,-0.7003,negative,government policy
Operation Zufolo: Australia deployed a ‘charade’ to sustain indefinite immigration detention – it failed,2024-04-27T00:00:20Z,-0.7003,negative,indefinite immigration policy
"Secret Serco rating system for immigration detainees must be scrapped, say Greens",2024-03-14T14:00:25Z,0.0,neutral,controversies
"Secret Serco rating system for immigration detainees must be scrapped, say Greens",2024-03-14T14:00:25Z,0.0,neutral,immigration detainees
Flawed immigration detention risk assessment tool can’t be upgraded as ABF data ‘riddled with errors’,2024-05-10T00:00:24Z,-0.7717,negative,migration policy
Flawed immigration detention risk assessment tool can’t be upgraded as ABF data ‘riddled with errors’,2024-05-10T00:00:24Z,-0.7717,negative,government policy
Australian immigration detainees’ lives controlled by secret rating system developed by Serco,2024-03-12T19:04:49Z,0.0,neutral,detention policy
Revealed: the secret algorithm that controls the lives of Serco’s immigration detainees,2024-03-12T19:00:00Z,0.0,neutral,secret algorithm
Revealed: the secret algorithm that controls the lives of Serco’s immigration detainees,2024-03-12T19:00:00Z,0.0,neutral,detention policy
Immigration minister Andrew Giles seeking ‘urgent advice’ about re-cancelling visa of man accused of murder,2024-05-23T07:13:51Z,-0.7845,negative,key individuals
Immigration minister Andrew Giles seeking ‘urgent advice’ about re-cancelling visa of man accused of murder,2024-05-23T07:13:51Z,-0.7845,negative,government policy
Dan Tehan condemns ‘big Australia’ policy but won’t reveal Coalition’s immigration plan,2024-03-03T02:30:59Z,-0.2846,negative,key individuals
Dan Tehan condemns ‘big Australia’ policy but won’t reveal Coalition’s immigration plan,2024-03-03T02:30:59Z,-0.2846,negative,government policy
Dan Tehan condemns ‘big Australia’ policy but won’t reveal Coalition’s immigration plan,2024-03-03T02:30:59Z,-0.2846,negative,government policy
News Corp quotes anti-immigration TikToker but fails to reveal ex-One Nation MP adviser role ,2024-05-04T00:00:27Z,-0.5719,negative,news
News Corp quotes anti-immigration TikToker but fails to reveal ex-One Nation MP adviser role ,2024-05-04T00:00:27Z,-0.5719,negative,general information
News Corp quotes anti-immigration TikToker but fails to reveal ex-One Nation MP adviser role ,2024-05-04T00:00:27Z,-0.5719,negative,key individuals
 Labor’s ‘draconian’ immigration detention conditions challenged in high court ,2023-11-22T06:45:07Z,-0.4404,negative,migration policy
 Labor’s ‘draconian’ immigration detention conditions challenged in high court ,2023-11-22T06:45:07Z,-0.4404,negative,high court
Freed immigration detainee sues Australian government for damages for alleged false imprisonment,2024-01-15T14:00:32Z,-0.0516,negative,legal issues
Freed immigration detainee sues Australian government for damages for alleged false imprisonment,2024-01-15T14:00:32Z,-0.0516,negative,legal issues
More than 170 immigration detainees could be freed if Australian government loses high court challenge,2024-03-19T14:00:39Z,0.1779,negative,immigration detainees
More than 170 immigration detainees could be freed if Australian government loses high court challenge,2024-03-19T14:00:39Z,0.1779,negative,australian government
More than 170 immigration detainees could be freed if Australian government loses high court challenge,2024-03-19T14:00:39Z,0.1779,negative,legal issues
Hundreds more immigration detainees could be released in sequel to NZYQ high court ruling,2024-02-15T14:00:18Z,0.0,neutral,immigration detainees
Hundreds more immigration detainees could be released in sequel to NZYQ high court ruling,2024-02-15T14:00:18Z,0.0,neutral,migration policy
Andrew Giles faces years of litigation as he fights to prevent another disastrous defeat on immigration | Paul Karp,2024-03-31T14:00:42Z,-0.8834,negative,key individuals
Andrew Giles faces years of litigation as he fights to prevent another disastrous defeat on immigration | Paul Karp,2024-03-31T14:00:42Z,-0.8834,negative,controversies
Andrew Giles faces years of litigation as he fights to prevent another disastrous defeat on immigration | Paul Karp,2024-03-31T14:00:42Z,-0.8834,negative,key individuals
"Australia’s immigration spike not necessarily driving up housing prices, experts say",2023-12-11T14:00:38Z,0.0,neutral,migration policy
"Australia’s immigration spike not necessarily driving up housing prices, experts say",2023-12-11T14:00:38Z,0.0,neutral,economy
Fifth immigration detainee arrested after release due to high court ruling,2023-12-07T03:48:26Z,-0.4767,negative,immigration detainee
Fifth immigration detainee arrested after release due to high court ruling,2023-12-07T03:48:26Z,-0.4767,negative,immigration policy
Sixth former immigration detainee arrested in Melbourne for allegedly breaking curfew,2023-12-09T01:51:42Z,-0.4767,negative,immigration detainee
Peter Dutton doubles down on immigration attacks despite Victoria police clearing detainee of assault charges,2024-03-01T03:28:51Z,-0.8316,negative,key individuals doubles
Peter Dutton doubles down on immigration attacks despite Victoria police clearing detainee of assault charges,2024-03-01T03:28:51Z,-0.8316,negative,immigration policy
Peter Dutton doubles down on immigration attacks despite Victoria police clearing detainee of assault charges,2024-03-01T03:28:51Z,-0.8316,negative,key individuals
Peter Dutton doubles down on immigration attacks despite Victoria police clearing detainee of assault charges,2024-03-01T03:28:51Z,-0.8316,negative,legal issues
Two immigration detainees charged after release due to high court ruling,2023-12-04T08:35:14Z,-0.2023,negative,immigration detainees
Two immigration detainees charged after release due to high court ruling,2023-12-04T08:35:14Z,-0.2023,negative,immigration policy
‘Missing’ man who left immigration detention without electronic monitoring is located,2023-11-29T07:25:31Z,-0.3612,negative,immigration policy
Seven of the immigration detainees released in Australia were convicted of murder or attempted murder,2024-02-12T06:30:11Z,-0.886,negative,immigration detainees
Immigration detention explainer: how is Labor responding to the landmark high court ruling? ,2023-11-16T00:59:45Z,-0.296,negative,migration policy
Immigration detention explainer: how is Labor responding to the landmark high court ruling? ,2023-11-16T00:59:45Z,-0.296,negative,landmark immigration policy
Clare O’Neil claims she relied on verbal briefings only for prediction of high court immigration detention win,2024-03-20T22:30:13Z,0.3182,negative,key individuals
Clare O’Neil claims she relied on verbal briefings only for prediction of high court immigration detention win,2024-03-20T22:30:13Z,0.3182,negative,government policy
Clare O’Neil claims she relied on verbal briefings only for prediction of high court immigration detention win,2024-03-20T22:30:13Z,0.3182,negative,legal issues
Fourth former immigration detainee charged after release due to high court ruling,2023-12-06T06:43:01Z,-0.2023,negative,immigration detainee
Fourth former immigration detainee charged after release due to high court ruling,2023-12-06T06:43:01Z,-0.2023,negative,immigration policy
Labor’s preventive detention regime passes Senate as third freed immigration detainee arrested ,2023-12-05T08:00:12Z,-0.4404,negative,detention policy
Labor’s preventive detention regime passes Senate as third freed immigration detainee arrested ,2023-12-05T08:00:12Z,-0.4404,negative,immigration detainee
 Australia to immediately begin releasing people held in indefinite immigration detention,2023-11-09T20:40:38Z,-0.3612,negative,indefinite immigration policy
Youth curfew announced in Alice Springs; Labor’s ‘urgent’ immigration bill delayed; and the veggie chip taste test,2024-03-27T05:51:57Z,-0.2263,negative,social policy
Youth curfew announced in Alice Springs; Labor’s ‘urgent’ immigration bill delayed; and the veggie chip taste test,2024-03-27T05:51:57Z,-0.2263,negative,government policy
Youth curfew announced in Alice Springs; Labor’s ‘urgent’ immigration bill delayed; and the veggie chip taste test,2024-03-27T05:51:57Z,-0.2263,negative,urgent immigration policy
Youth curfew announced in Alice Springs; Labor’s ‘urgent’ immigration bill delayed; and the veggie chip taste test,2024-03-27T05:51:57Z,-0.2263,negative,community events
Malaysian hitman released from Australian immigration detention after high court ruling,2023-11-12T02:26:44Z,-0.3612,negative,key individuals
Malaysian hitman released from Australian immigration detention after high court ruling,2023-11-12T02:26:44Z,-0.3612,negative,australian immigration policy
Malaysian hitman released from Australian immigration detention after high court ruling,2023-11-12T02:26:44Z,-0.3612,negative,immigration policy
Indefinite immigration detention ruled unlawful in landmark Australian high court decision ,2023-11-08T07:50:42Z,-0.296,negative,indefinite immigration policy
Indefinite immigration detention ruled unlawful in landmark Australian high court decision ,2023-11-08T07:50:42Z,-0.296,negative,government policy
Labor’s emergency laws after immigration detention ruling may amount to ‘extrajudicial’ punishment,2023-11-17T14:00:13Z,-0.8074,negative,government policy
Labor’s emergency laws after immigration detention ruling may amount to ‘extrajudicial’ punishment,2023-11-17T14:00:13Z,-0.8074,negative,government policy
Labor’s emergency laws after immigration detention ruling may amount to ‘extrajudicial’ punishment,2023-11-17T14:00:13Z,-0.8074,negative,controversies
Immigration detention: Labor to rush through emergency legislation after high court ruling,2023-11-15T04:46:32Z,-0.6249,negative,migration policy
Immigration detention: Labor to rush through emergency legislation after high court ruling,2023-11-15T04:46:32Z,-0.6249,negative,government policy
Immigration detention: Labor to rush through emergency legislation after high court ruling,2023-11-15T04:46:32Z,-0.6249,negative,immigration policy
Labor blames Peter Dutton’s decisions as immigration minister for ‘mess’ of indefinite detention ,2023-11-29T06:14:02Z,-0.6369,negative,government policy
Labor blames Peter Dutton’s decisions as immigration minister for ‘mess’ of indefinite detention ,2023-11-29T06:14:02Z,-0.6369,negative,immigration policy
Labor blames Peter Dutton’s decisions as immigration minister for ‘mess’ of indefinite detention ,2023-11-29T06:14:02Z,-0.6369,negative,immigration policy
Australia’s system of indefinite immigration detention to face high court challenge,2023-10-03T23:00:26Z,-0.296,negative,migration policy
Australia’s system of indefinite immigration detention to face high court challenge,2023-10-03T23:00:26Z,-0.296,negative,indefinite immigration policy
Australia’s system of indefinite immigration detention to face high court challenge,2023-10-03T23:00:26Z,-0.296,negative,court challenge
Eighty people already freed from Australia’s immigration detention since landmark high court ruling,2023-11-12T22:17:36Z,0.128,negative,migration policy
Eighty people already freed from Australia’s immigration detention since landmark high court ruling,2023-11-12T22:17:36Z,0.128,negative,migration policy
Eighty people already freed from Australia’s immigration detention since landmark high court ruling,2023-11-12T22:17:36Z,0.128,negative,landmark immigration policy
Australia releases stateless man on ‘strict conditions’ after indefinite immigration detention ruled unlawful ,2023-11-09T04:10:29Z,-0.3612,negative,asylum policy
Australia releases stateless man on ‘strict conditions’ after indefinite immigration detention ruled unlawful ,2023-11-09T04:10:29Z,-0.3612,negative,detention policy
Australia releases stateless man on ‘strict conditions’ after indefinite immigration detention ruled unlawful ,2023-11-09T04:10:29Z,-0.3612,negative,indefinite immigration policy
Labor to enact ‘preventive detention’ regime after high court reveals reasons for immigration ruling,2023-11-28T04:23:08Z,0.0,neutral,detention policy
Labor to enact ‘preventive detention’ regime after high court reveals reasons for immigration ruling,2023-11-28T04:23:08Z,0.0,neutral,legal issues
Labor to enact ‘preventive detention’ regime after high court reveals reasons for immigration ruling,2023-11-28T04:23:08Z,0.0,neutral,immigration policy
Immigration detention: Rohingya refugee NZYQ given sex offender counselling sessions in ‘very special deal’,2023-11-24T14:00:22Z,-0.3182,negative,immigration policy rohingya refugee nzyq
Immigration detention: Rohingya refugee NZYQ given sex offender counselling sessions in ‘very special deal’,2023-11-24T14:00:22Z,-0.3182,negative,legal issues
Peter Dutton demands immigration minister Andrew Giles resign as another person released from detention,2023-11-30T06:01:41Z,-0.5994,negative,controversies
Immigration minister released friend of Bob Hawke from detention on visa that did not include ankle bracelet or curfew,2024-02-27T14:00:01Z,0.1779,negative,immigration policy
Immigration minister released friend of Bob Hawke from detention on visa that did not include ankle bracelet or curfew,2024-02-27T14:00:01Z,0.1779,negative,key individuals
Immigration minister released friend of Bob Hawke from detention on visa that did not include ankle bracelet or curfew,2024-02-27T14:00:01Z,0.1779,negative,controversies
Immigration minister lifts ankle bracelet and curfew conditions for two ex-detainees suing Australian government,2023-12-14T14:00:02Z,-0.2732,negative,controversies
Immigration minister lifts ankle bracelet and curfew conditions for two ex-detainees suing Australian government,2023-12-14T14:00:02Z,-0.2732,negative,detention policy
Immigration minister lifts ankle bracelet and curfew conditions for two ex-detainees suing Australian government,2023-12-14T14:00:02Z,-0.2732,negative,detention policy
Immigration minister lifts ankle bracelet and curfew conditions for two ex-detainees suing Australian government,2023-12-14T14:00:02Z,-0.2732,negative,australian government
"‘None’ of 81 people released from immigration detention arrived during Albanese government, Labor says",2023-11-14T06:53:02Z,-0.3612,negative,immigration policy
"‘None’ of 81 people released from immigration detention arrived during Albanese government, Labor says",2023-11-14T06:53:02Z,-0.3612,negative,government policy
"Ankle bracelets, curfews and criminal penalties in Labor response to release of immigration detainees",2023-11-15T16:50:46Z,-0.5267,negative,controversiess curfews
"Ankle bracelets, curfews and criminal penalties in Labor response to release of immigration detainees",2023-11-15T16:50:46Z,-0.5267,negative,legal issues
"Ankle bracelets, curfews and criminal penalties in Labor response to release of immigration detainees",2023-11-15T16:50:46Z,-0.5267,negative,government policy
"Ankle bracelets, curfews and criminal penalties in Labor response to release of immigration detainees",2023-11-15T16:50:46Z,-0.5267,negative,immigration detainees
Documents reveal details about the 92 people facing release from indefinite immigration detention in Australia,2023-11-10T02:53:46Z,-0.3612,negative,indefinite immigration policy
Andrew Giles issues new rules for visa cancellations that make community safety ‘highest priority’,2024-06-07T06:44:22Z,0.4215,neutral,key individuals
Andrew Giles issues new rules for visa cancellations that make community safety ‘highest priority’,2024-06-07T06:44:22Z,0.4215,neutral,new rules
Andrew Giles issues new rules for visa cancellations that make community safety ‘highest priority’,2024-06-07T06:44:22Z,0.4215,neutral,visa policy
Andrew Giles issues new rules for visa cancellations that make community safety ‘highest priority’,2024-06-07T06:44:22Z,0.4215,neutral,social policy
Dutton push for ‘migration zones’ for people released from immigration detention rejected as ‘stuff of tyranny’,2023-11-17T03:31:44Z,-0.7003,negative,migration policy
Dutton push for ‘migration zones’ for people released from immigration detention rejected as ‘stuff of tyranny’,2023-11-17T03:31:44Z,-0.7003,negative,immigration policy
The week in parliament: things get ugly on immigration detention with political blood spilled on both sides | Amy Remeikis,2023-12-01T23:00:28Z,-0.7003,negative,government policy
The week in parliament: things get ugly on immigration detention with political blood spilled on both sides | Amy Remeikis,2023-12-01T23:00:28Z,-0.7003,negative,immigration policy
The week in parliament: things get ugly on immigration detention with political blood spilled on both sides | Amy Remeikis,2023-12-01T23:00:28Z,-0.7003,negative,government policy
The week in parliament: things get ugly on immigration detention with political blood spilled on both sides | Amy Remeikis,2023-12-01T23:00:28Z,-0.7003,negative,key individuals
I’ve been fighting Australia's mandatory immigration detention regime for decades – the high court’s decision is revolutionary | Mary Crock,2023-11-08T23:25:33Z,-0.5719,negative,news
I’ve been fighting Australia's mandatory immigration detention regime for decades – the high court’s decision is revolutionary | Mary Crock,2023-11-08T23:25:33Z,-0.5719,negative,migration policy
I’ve been fighting Australia's mandatory immigration detention regime for decades – the high court’s decision is revolutionary | Mary Crock,2023-11-08T23:25:33Z,-0.5719,negative,government policy
I’ve been fighting Australia's mandatory immigration detention regime for decades – the high court’s decision is revolutionary | Mary Crock,2023-11-08T23:25:33Z,-0.5719,negative,key individuals
The pain for Labor on immigration detention is not over – especially if the Coalition and Greens team up | Paul Karp,2023-11-26T14:00:21Z,-0.7003,negative,immigration policy
The pain for Labor on immigration detention is not over – especially if the Coalition and Greens team up | Paul Karp,2023-11-26T14:00:21Z,-0.7003,negative,key individuals
The pain for Labor on immigration detention is not over – especially if the Coalition and Greens team up | Paul Karp,2023-11-26T14:00:21Z,-0.7003,negative,key individuals
Criminals facing deportation from Australia have had their visas restored. How did this happen and who is to blame?,2024-05-29T04:38:59Z,-0.5719,negative,
New Zealand tightens visa rules after migration hits ‘unsustainable’ levels,2024-04-08T05:58:43Z,0.0,neutral,international relations
New Zealand tightens visa rules after migration hits ‘unsustainable’ levels,2024-04-08T05:58:43Z,0.0,neutral,migration policy
New Zealand tightens visa rules after migration hits ‘unsustainable’ levels,2024-04-08T05:58:43Z,0.0,neutral,migration policy
Coalition accused of sitting on warnings that immigration detention may have breached duty of care,2023-09-11T02:30:22Z,-0.4019,negative,immigration policy
Afternoon Update: Record increase in net migration; PwC won’t share tax leaks report; and the hot cross buns taste test,2024-03-21T06:02:28Z,0.5423,neutral,news
Afternoon Update: Record increase in net migration; PwC won’t share tax leaks report; and the hot cross buns taste test,2024-03-21T06:02:28Z,0.5423,neutral,migration policy
Afternoon Update: Record increase in net migration; PwC won’t share tax leaks report; and the hot cross buns taste test,2024-03-21T06:02:28Z,0.5423,neutral,economy
Afternoon Update: Record increase in net migration; PwC won’t share tax leaks report; and the hot cross buns taste test,2024-03-21T06:02:28Z,0.5423,neutral,community events
Immigration detention: Rohingya refugee NZYQ freed after high court case did not show remorse for raping 10-year-old,2023-11-22T02:42:01Z,-0.584,negative,immigration policy rohingya refugee nzyq
Immigration detention: Rohingya refugee NZYQ freed after high court case did not show remorse for raping 10-year-old,2023-11-22T02:42:01Z,-0.584,negative,high legal issues
Immigration detention: Rohingya refugee NZYQ freed after high court case did not show remorse for raping 10-year-old,2023-11-22T02:42:01Z,-0.584,negative,key individuals
‘Sign here’: high court finds no requirement for minister to read submissions on visa decisions,2024-04-10T01:57:11Z,-0.296,negative,high court
‘Sign here’: high court finds no requirement for minister to read submissions on visa decisions,2024-04-10T01:57:11Z,-0.296,negative,visa policy
Home affairs under Peter Dutton was warned ‘failing’ immigration detention may have breached duty of care,2023-09-08T15:00:49Z,-0.1027,negative,government policy
Home affairs under Peter Dutton was warned ‘failing’ immigration detention may have breached duty of care,2023-09-08T15:00:49Z,-0.1027,negative,key individuals
Home affairs under Peter Dutton was warned ‘failing’ immigration detention may have breached duty of care,2023-09-08T15:00:49Z,-0.1027,negative,immigration policy
Australia’s use of hotels for immigration detention found to have ‘devastating’ health effects,2023-06-20T23:37:22Z,-0.3612,negative,migration policy
Australia’s use of hotels for immigration detention found to have ‘devastating’ health effects,2023-06-20T23:37:22Z,-0.3612,negative,immigration policy
"House prices will keep rising into next year, says Domain, as immigration boosts demand",2023-06-21T15:00:42Z,0.2023,neutral,economy
"House prices will keep rising into next year, says Domain, as immigration boosts demand",2023-06-21T15:00:42Z,0.2023,neutral,economy
"Change in visa rules was to apply in absence of ‘serious offending or family violence’, Andrew Giles was told",2024-05-27T15:00:28Z,-0.5106,negative,visa policy
"Change in visa rules was to apply in absence of ‘serious offending or family violence’, Andrew Giles was told",2024-05-27T15:00:28Z,-0.5106,negative,key individuals
How immigration changed Australia – an interactive journey through history,2023-01-29T14:00:53Z,0.0,neutral,community events
Aneeta’s violent husband tried to sabotage her Australian visa application. She’s one of hundreds to secure one anyway,2024-07-07T00:00:51Z,-0.7096,negative,key individuals
Aneeta’s violent husband tried to sabotage her Australian visa application. She’s one of hundreds to secure one anyway,2024-07-07T00:00:51Z,-0.7096,negative,visa application
Neo-Nazis clash with police and counter-protesters at anti-immigration rally in Melbourne,2023-05-13T06:22:35Z,0.0,neutral,controversies
Neo-Nazis clash with police and counter-protesters at anti-immigration rally in Melbourne,2023-05-13T06:22:35Z,0.0,neutral,community events
Neo-Nazis clash with police and counter-protesters at anti-immigration rally in Melbourne,2023-05-13T06:22:35Z,0.0,neutral,community events
New Zealanders to gain faster pathway to Australian citizenship under major changes to immigration rules,2023-04-21T12:30:40Z,0.5267,neutral,new zealanders
New Zealanders to gain faster pathway to Australian citizenship under major changes to immigration rules,2023-04-21T12:30:40Z,0.5267,neutral,citizenship
New Zealanders to gain faster pathway to Australian citizenship under major changes to immigration rules,2023-04-21T12:30:40Z,0.5267,neutral,migration policy
New Zealanders to gain faster pathway to Australian citizenship under major changes to immigration rules,2023-04-21T12:30:40Z,0.5267,neutral,migration policy
Strict new rules come into force at US-Mexico border as Title 42 immigration ban expires,2023-05-12T04:18:57Z,-0.5574,negative,new rules
Strict new rules come into force at US-Mexico border as Title 42 immigration ban expires,2023-05-12T04:18:57Z,-0.5574,negative,international relations
Strict new rules come into force at US-Mexico border as Title 42 immigration ban expires,2023-05-12T04:18:57Z,-0.5574,negative,migration policy
Top public servant apologises for ‘significant’ error in Australia’s offshore immigration processing,2023-02-13T08:11:03Z,-0.0258,negative,government policy
Top public servant apologises for ‘significant’ error in Australia’s offshore immigration processing,2023-02-13T08:11:03Z,-0.0258,negative,controversies
Top public servant apologises for ‘significant’ error in Australia’s offshore immigration processing,2023-02-13T08:11:03Z,-0.0258,negative,migration policy
Clare O’Neil won’t rule out international student cap as part of visa crackdown,2023-12-11T05:47:12Z,0.0,neutral,key individuals
Clare O’Neil won’t rule out international student cap as part of visa crackdown,2023-12-11T05:47:12Z,0.0,neutral,education
Clare O’Neil won’t rule out international student cap as part of visa crackdown,2023-12-11T05:47:12Z,0.0,neutral,visa policy
David Pocock blasts Albanese government as it reauthorises Nauru offshore immigration detention,2023-02-07T07:44:44Z,-0.3612,negative,key individuals
David Pocock blasts Albanese government as it reauthorises Nauru offshore immigration detention,2023-02-07T07:44:44Z,-0.3612,negative,migration policy
"Why is Labor defending Alex Hawke’s ‘bizarre’, ‘steering wheel’ visa decision in the high court? | Paul Karp",2023-10-29T14:00:48Z,0.0,neutral,key individuals bizarre
"Why is Labor defending Alex Hawke’s ‘bizarre’, ‘steering wheel’ visa decision in the high court? | Paul Karp",2023-10-29T14:00:48Z,0.0,neutral,wheel visa policy
"Why is Labor defending Alex Hawke’s ‘bizarre’, ‘steering wheel’ visa decision in the high court? | Paul Karp",2023-10-29T14:00:48Z,0.0,neutral,key individuals
"Electronic monitoring in community could reduce immigration detention, document states",2022-11-21T14:00:23Z,-0.3612,negative,migration policy
"The Crunch: migration hits record high, bird flu takes flight and kicking goals with AFL mullets",2024-05-30T01:56:14Z,-0.3818,negative,migration policy
"The Crunch: migration hits record high, bird flu takes flight and kicking goals with AFL mullets",2024-05-30T01:56:14Z,-0.3818,negative,community events
Legal challenge to Australia’s indefinite immigration detention could determine freedom of hundreds ,2022-12-29T14:00:22Z,0.5423,negative,legal issues
Legal challenge to Australia’s indefinite immigration detention could determine freedom of hundreds ,2022-12-29T14:00:22Z,0.5423,negative,indefinite immigration policy
Labor condemned for ‘abhorrently cruel’ decision to put 100 people back in immigration detention,2023-02-08T14:00:20Z,-0.6597,negative,controversies
Labor condemned for ‘abhorrently cruel’ decision to put 100 people back in immigration detention,2023-02-08T14:00:20Z,-0.6597,negative,immigration policy
Surge in Palestinians applying for protection while in Australia prompts calls to create ‘emergency uplift’ visa,2024-07-01T15:00:22Z,0.2732,neutral,migration policy
Surge in Palestinians applying for protection while in Australia prompts calls to create ‘emergency uplift’ visa,2024-07-01T15:00:22Z,0.2732,neutral,visa policy
"Immigration detainee not given new food because maggots ‘just on the vegetables’, report finds",2023-01-23T14:00:08Z,0.0,neutral,immigration detainee
"Immigration detainee not given new food because maggots ‘just on the vegetables’, report finds",2023-01-23T14:00:08Z,0.0,neutral,community events
"Migration rose by one-third last year to lift Australia’s population by a record 659,000",2024-03-21T06:36:29Z,0.0,neutral,migration policy
Labor’s deportation bill could be used to blacklist entire countries’ citizens from obtaining visas to Australia,2024-03-27T14:00:27Z,0.0,neutral,migration policy
Labor’s deportation bill could be used to blacklist entire countries’ citizens from obtaining visas to Australia,2024-03-27T14:00:27Z,0.0,neutral,migration policy
Refugee charged with breaching curfew launches high court challenge to released detainees’ visa conditions,2024-02-28T04:33:23Z,-0.128,negative,detention policy
