post_title,datetime,sentiment_scores,sentiment,topic
My first umpiring gig for a local cricket club has been a welcome distraction from waiting for a family visa | Shadi Khan Saif,2023-03-13T14:00:21Z,0.1027,neutral,family visa
"Daryl Maguire, former MP and ex-partner of Gladys Berejiklian, charged over alleged visa fraud",2022-11-29T05:40:02Z,-0.6808,negative,key individuals
"Daryl Maguire, former MP and ex-partner of Gladys Berejiklian, charged over alleged visa fraud",2022-11-29T05:40:02Z,-0.6808,negative,family visa
"Daryl Maguire, former MP and ex-partner of Gladys Berejiklian, charged over alleged visa fraud",2022-11-29T05:40:02Z,-0.6808,negative,key individuals
"Daryl Maguire, former MP and ex-partner of Gladys Berejiklian, charged over alleged visa fraud",2022-11-29T05:40:02Z,-0.6808,negative,controversies
"Australia’s post-pandemic surge in net overseas migration temporary, federal budget predicts",2023-05-09T15:00:48Z,0.0,neutral,economy
"Australia’s post-pandemic surge in net overseas migration temporary, federal budget predicts",2023-05-09T15:00:48Z,0.0,neutral,migration policy
"Australia’s post-pandemic surge in net overseas migration temporary, federal budget predicts",2023-05-09T15:00:48Z,0.0,neutral,government policy
‘Putting their lives on hold’: Australian families kept apart as wait times for partner visas blow out ,2023-04-23T15:00:42Z,0.0,neutral,family visa
‘Putting their lives on hold’: Australian families kept apart as wait times for partner visas blow out ,2023-04-23T15:00:42Z,0.0,neutral,family visa
Labor’s refusal to grant visa to people smuggler challenged in high court,2022-08-09T05:02:38Z,-0.25,negative,government policy
Labor’s refusal to grant visa to people smuggler challenged in high court,2022-08-09T05:02:38Z,-0.25,negative,controversies
Labor’s refusal to grant visa to people smuggler challenged in high court,2022-08-09T05:02:38Z,-0.25,negative,high court
Sorrow turns to anger over ‘disgusting’ Australian visa cancellation for New Zealand-born father,2022-09-18T17:30:20Z,-0.7964,negative,visa application cancellation
Sorrow turns to anger over ‘disgusting’ Australian visa cancellation for New Zealand-born father,2022-09-18T17:30:20Z,-0.7964,negative,new zealand
Reports EU set to suspend visa travel agreement with Russia – as it happened,2022-08-28T19:23:47Z,0.2263,negative,international relations
Reports EU set to suspend visa travel agreement with Russia – as it happened,2022-08-28T19:23:47Z,0.2263,negative,visa-related
"Morning mail: visa backlog’s human impact, Putin’s army plan, Dutton denounces ‘witch-hunt’",2022-08-25T20:50:18Z,-0.4404,negative,visa processing
Dutton readies budget reply as Chalmers links migration cut to inflation fight ,2024-05-15T15:00:43Z,-0.5719,negative,key individuals
Dutton readies budget reply as Chalmers links migration cut to inflation fight ,2024-05-15T15:00:43Z,-0.5719,negative,migration policy
Dutton readies budget reply as Chalmers links migration cut to inflation fight ,2024-05-15T15:00:43Z,-0.5719,negative,economy
‘I can never feel settled’: wait time for key Australian work visa more than doubles,2022-09-29T17:30:17Z,0.0,neutral,work visa
"Morning mail: Afghan refugee visa limbo, Turnbull backs voice, Olivia Newton-John’s best",2022-08-14T21:00:42Z,0.6124,neutral,controversies
"Coalition to campaign on balancing housing construction and migration, says Andrew Bragg",2024-04-30T08:01:19Z,0.0,neutral,key individuals
Australian visa backlog keeping engineers out of country amid skills shortage,2022-06-09T17:30:37Z,-0.25,negative,visa processing
Australian visa backlog keeping engineers out of country amid skills shortage,2022-06-09T17:30:37Z,-0.25,negative,employment
Former Sri Lanka president Gotabaya Rajapaksa turns up in Thailand after Singapore visa expires,2022-08-11T23:19:07Z,0.0,neutral,key individuals
Former Sri Lanka president Gotabaya Rajapaksa turns up in Thailand after Singapore visa expires,2022-08-11T23:19:07Z,0.0,neutral,visitovisa application
From working holidaymakers to family reunion – five key changes to Australian migration,2023-04-27T02:31:40Z,0.0,neutral,family visa
From working holidaymakers to family reunion – five key changes to Australian migration,2023-04-27T02:31:40Z,0.0,neutral,migration policy
From working holidaymakers to family reunion – five key changes to Australian migration,2023-04-27T02:31:40Z,0.0,neutral,migration policy
Afghan nationals in Australia fear for loved ones in grim wait for split-family visas,2022-12-05T14:00:43Z,-0.4588,negative,refugee visa
Afghan nationals in Australia fear for loved ones in grim wait for split-family visas,2022-12-05T14:00:43Z,-0.4588,negative,family visa
Man who had Australian visa cancelled challenges government’s ability to keep evidence secret,2022-06-07T08:47:16Z,0.1531,negative,visa application
Man who had Australian visa cancelled challenges government’s ability to keep evidence secret,2022-06-07T08:47:16Z,0.1531,negative,government policy
Australian teen strip-searched and held in US jail for 10 days after being denied common visa waiver,2022-09-04T17:30:04Z,-0.4404,negative,key events
Australian teen strip-searched and held in US jail for 10 days after being denied common visa waiver,2022-09-04T17:30:04Z,-0.4404,negative,visa-related
"Visa application backlog risks causing ‘human misery and economic carnage’ due to understaffing, says Labor MP",2022-07-20T17:30:26Z,-0.7003,negative,visa processing
"Visa application backlog risks causing ‘human misery and economic carnage’ due to understaffing, says Labor MP",2022-07-20T17:30:26Z,-0.7003,negative,controversies
"Visa application backlog risks causing ‘human misery and economic carnage’ due to understaffing, says Labor MP",2022-07-20T17:30:26Z,-0.7003,negative,economy
"Visa application backlog risks causing ‘human misery and economic carnage’ due to understaffing, says Labor MP",2022-07-20T17:30:26Z,-0.7003,negative,government policy
Labor defends agricultural visa scheme as farmers brace for minimum wage rise,2022-04-26T17:30:05Z,0.0,neutral,agriculture visa
Labor defends agricultural visa scheme as farmers brace for minimum wage rise,2022-04-26T17:30:05Z,0.0,neutral,work visa
Labor defends agricultural visa scheme as farmers brace for minimum wage rise,2022-04-26T17:30:05Z,0.0,neutral,economy
Monday briefing: Novak Djokovic in visa court victory,2022-01-10T06:33:25Z,0.0,neutral,key individuals
Monday briefing: Novak Djokovic in visa court victory,2022-01-10T06:33:25Z,0.0,neutral,visa application
Murugappan family to return to Biloela on bridging visas,2022-05-27T05:36:07Z,0.0,neutral,key individuals
Novak Djokovic leaves Australia after court upholds visa cancellation,2022-01-16T11:46:34Z,0.0,neutral,key individuals
Novak Djokovic leaves Australia after court upholds visa cancellation,2022-01-16T11:46:34Z,0.0,neutral,visa application
"Australia’s ‘broken’ migration system leaves 1.8m workers ‘permanently temporary’, review finds",2023-04-26T15:00:05Z,0.0,neutral,migration policy
"Australia’s ‘broken’ migration system leaves 1.8m workers ‘permanently temporary’, review finds",2023-04-26T15:00:05Z,0.0,neutral,employment
"Australia’s ‘broken’ migration system leaves 1.8m workers ‘permanently temporary’, review finds",2023-04-26T15:00:05Z,0.0,neutral,migration policy
Novak Djokovic: Australia sparks diplomatic row with visa cancellation,2022-01-06T02:35:01Z,0.0,neutral,key individuals
Novak Djokovic: Australia sparks diplomatic row with visa cancellation,2022-01-06T02:35:01Z,0.0,neutral,international relations
Novak Djokovic: Australia sparks diplomatic row with visa cancellation,2022-01-06T02:35:01Z,0.0,neutral,visa cancellation
Labor would deport visa holders convicted of crimes but tweak rules to ease New Zealand tensions,2022-05-19T17:30:02Z,-0.0772,negative,controversies
Labor would deport visa holders convicted of crimes but tweak rules to ease New Zealand tensions,2022-05-19T17:30:02Z,-0.0772,negative,migration policy
Labor would deport visa holders convicted of crimes but tweak rules to ease New Zealand tensions,2022-05-19T17:30:02Z,-0.0772,negative,international relations
‘Got your visa?’: Victoria’s coastal enclave of Rye is holding fast to its barefoot roots,2022-04-23T20:00:03Z,0.0,neutral,regional visa
‘Got your visa?’: Victoria’s coastal enclave of Rye is holding fast to its barefoot roots,2022-04-23T20:00:03Z,0.0,neutral,community events
"Djokovic case exposes ‘dysfunctional and dangerous’ Australian visa rules, experts say",2022-01-17T03:45:08Z,-0.128,negative,controversies
"Djokovic case exposes ‘dysfunctional and dangerous’ Australian visa rules, experts say",2022-01-17T03:45:08Z,-0.128,negative,controversies
Novak Djokovic wins appeal against decision to cancel his Australian visa,2022-01-10T06:44:26Z,0.4019,negative,key individuals
Novak Djokovic wins appeal against decision to cancel his Australian visa,2022-01-10T06:44:26Z,0.4019,negative,visa application
Labor urged to improve work rights for people on bridging visas amid skilled migration push,2022-08-31T17:30:32Z,0.4404,neutral,employment
Labor urged to improve work rights for people on bridging visas amid skilled migration push,2022-08-31T17:30:32Z,0.4404,neutral,employment
Serbian president decries Novak Djokovic ‘harassment’ amid reaction to visa cancellation,2022-01-06T16:20:28Z,0.0,neutral,international relations
Serbian president decries Novak Djokovic ‘harassment’ amid reaction to visa cancellation,2022-01-06T16:20:28Z,0.0,neutral,visa cancellation
International borders reopening: Australian visa holders make plans to reunite with loved ones,2022-02-08T16:30:28Z,0.5994,positive,visa-related
Albanese government to radically streamline migration with three-tiered system for skilled workers,2023-04-27T07:40:36Z,0.0,neutral,albanese government
Albanese government to radically streamline migration with three-tiered system for skilled workers,2023-04-27T07:40:36Z,0.0,neutral,migration policy
Albanese government to radically streamline migration with three-tiered system for skilled workers,2023-04-27T07:40:36Z,0.0,neutral,employment
Novak Djokovic awaits Australia visa ruling after lawyers debate his vaccination views,2022-01-16T04:40:34Z,0.0772,neutral,key individuals
Novak Djokovic awaits Australia visa ruling after lawyers debate his vaccination views,2022-01-16T04:40:34Z,0.0772,neutral,legal issues
"Morrison government dragging out Djokovic visa saga ‘as a distraction’, Labor says",2022-01-14T06:21:44Z,0.0,neutral,government policy
"Morrison government dragging out Djokovic visa saga ‘as a distraction’, Labor says",2022-01-14T06:21:44Z,0.0,neutral,key events saga
"Morrison government dragging out Djokovic visa saga ‘as a distraction’, Labor says",2022-01-14T06:21:44Z,0.0,neutral,government policy
Aged care staff locked out of Australia due to government’s bridging visa stance,2022-02-02T16:30:28Z,0.4939,neutral,employment
Aged care staff locked out of Australia due to government’s bridging visa stance,2022-02-02T16:30:28Z,0.4939,neutral,visa policy
Labor helps Coalition pass its visa cancellation character test bill in the lower house,2022-02-16T04:15:54Z,0.1027,negative,government policy
Labor helps Coalition pass its visa cancellation character test bill in the lower house,2022-02-16T04:15:54Z,0.1027,negative,visa policy
Underfire Tennis Australia boss Craig Tiley refuses to resign over Djokovic visa saga,2022-01-20T09:43:25Z,-0.34,negative,key individuals
Underfire Tennis Australia boss Craig Tiley refuses to resign over Djokovic visa saga,2022-01-20T09:43:25Z,-0.34,negative,key events saga
Locked-out New Zealanders outraged as visa scheme for rich foreigners resumes,2021-12-24T00:02:58Z,0.0258,negative,new zealanders
Locked-out New Zealanders outraged as visa scheme for rich foreigners resumes,2021-12-24T00:02:58Z,0.0258,negative,visa policy
Locked-out New Zealanders outraged as visa scheme for rich foreigners resumes,2021-12-24T00:02:58Z,0.0258,negative,investment visa
Dfat bungle delayed visas for former Afghan embassy employees at risk from Taliban,2022-07-01T20:00:25Z,-0.4588,negative,controversies
Dfat bungle delayed visas for former Afghan embassy employees at risk from Taliban,2022-07-01T20:00:25Z,-0.4588,negative,key individuals
Novak Djokovic: Liberal MPs divided over whether Australian government should again cancel visa,2022-01-10T23:38:13Z,-0.25,negative,key individuals
Novak Djokovic: Liberal MPs divided over whether Australian government should again cancel visa,2022-01-10T23:38:13Z,-0.25,negative,government policy
Novak Djokovic: Liberal MPs divided over whether Australian government should again cancel visa,2022-01-10T23:38:13Z,-0.25,negative,australian government
Novak Djokovic to remain in detention during court challenge to Australian visa cancellation,2022-01-06T08:50:52Z,-0.296,negative,key individuals
Novak Djokovic to remain in detention during court challenge to Australian visa cancellation,2022-01-06T08:50:52Z,-0.296,negative,court challenge
Novak Djokovic to remain in detention during court challenge to Australian visa cancellation,2022-01-06T08:50:52Z,-0.296,negative,visa application cancellation
Migration rebound slowed by Australians leaving the country since borders reopened,2022-08-21T17:30:15Z,0.0,neutral,
‘Profound anxiety’ for visa holders locked out of Australia despite border reopening,2021-12-08T16:30:47Z,0.0,neutral,social policy
‘Profound anxiety’ for visa holders locked out of Australia despite border reopening,2021-12-08T16:30:47Z,0.0,neutral,visa-related
Hong Kong denies visa to Economist journalist in latest media blow,2021-11-13T07:16:52Z,-0.4215,negative,international relations
Hong Kong denies visa to Economist journalist in latest media blow,2021-11-13T07:16:52Z,-0.4215,negative,key individuals
Hong Kong denies visa to Economist journalist in latest media blow,2021-11-13T07:16:52Z,-0.4215,negative,news
Novak Djokovic visa: Australian minister Alex Hawke says risk of ‘civil unrest’ behind cancellation,2022-01-15T04:38:43Z,-0.2732,negative,key individualsn minister key individuals
Novak Djokovic visa: Australian minister Alex Hawke says risk of ‘civil unrest’ behind cancellation,2022-01-15T04:38:43Z,-0.2732,negative,social policy
Novak Djokovic included in delayed Australian Open draw as wait on visa decision continues,2022-01-13T06:02:02Z,-0.2263,negative,key individuals
Novak Djokovic included in delayed Australian Open draw as wait on visa decision continues,2022-01-13T06:02:02Z,-0.2263,negative,visa policy
"Refugee advocates want review of minister’s ‘godlike’ powers, as Djokovic waits on visa verdict",2022-01-13T00:48:52Z,0.2263,neutral,refugee advocates
"Refugee advocates want review of minister’s ‘godlike’ powers, as Djokovic waits on visa verdict",2022-01-13T00:48:52Z,0.2263,neutral,government policy
"Refugee advocates want review of minister’s ‘godlike’ powers, as Djokovic waits on visa verdict",2022-01-13T00:48:52Z,0.2263,neutral,key individuals
"Refugee advocates want review of minister’s ‘godlike’ powers, as Djokovic waits on visa verdict",2022-01-13T00:48:52Z,0.2263,neutral,visa policy
Craig Tiley privately praises staff for ‘unbelievable job’ as Djokovic visa saga drags on,2022-01-08T05:00:14Z,0.4019,neutral,key individuals
Craig Tiley privately praises staff for ‘unbelievable job’ as Djokovic visa saga drags on,2022-01-08T05:00:14Z,0.4019,neutral,employment
Craig Tiley privately praises staff for ‘unbelievable job’ as Djokovic visa saga drags on,2022-01-08T05:00:14Z,0.4019,neutral,employment
Craig Tiley privately praises staff for ‘unbelievable job’ as Djokovic visa saga drags on,2022-01-08T05:00:14Z,0.4019,neutral,controversies
‘Every day I am fearful’: Afghans with Australian visas wait in limbo a year after the fall of Kabul,2022-08-14T17:30:17Z,0.0,neutral,asylum policy
‘Every day I am fearful’: Afghans with Australian visas wait in limbo a year after the fall of Kabul,2022-08-14T17:30:17Z,0.0,neutral,visa applications
‘Every day I am fearful’: Afghans with Australian visas wait in limbo a year after the fall of Kabul,2022-08-14T17:30:17Z,0.0,neutral,asylum policy
Novak Djokovic visa cancelled: why is the tennis star being kicked out of Australia? ,2022-01-07T01:09:30Z,-0.25,negative,key individuals
Novak Djokovic visa cancelled: why is the tennis star being kicked out of Australia? ,2022-01-07T01:09:30Z,-0.25,negative,key individuals
Beijing criticises UK for creating ‘second-class citizens’ with Hong Kong visa scheme,2021-12-16T04:34:58Z,-0.0258,negative,international relations
Beijing criticises UK for creating ‘second-class citizens’ with Hong Kong visa scheme,2021-12-16T04:34:58Z,-0.0258,negative,social policy
Beijing criticises UK for creating ‘second-class citizens’ with Hong Kong visa scheme,2021-12-16T04:34:58Z,-0.0258,negative,hong kong visa policy
‘I’m beyond devastated’: Sydney woman on bridging visa denied exemption to travel to UK funeral,2022-01-23T16:30:27Z,-0.6597,negative,key individuals
‘I’m beyond devastated’: Sydney woman on bridging visa denied exemption to travel to UK funeral,2022-01-23T16:30:27Z,-0.6597,negative,community events
Australia to let in vaccinated visa holders but tourists have to wait,2021-11-22T04:15:20Z,0.0,neutral,visa-related
"‘Stuck in limbo-land’: restrictions keep bridging visa holders trapped in, and out, of Australia",2022-01-20T16:30:06Z,-0.5267,negative,asylum policy
"‘Stuck in limbo-land’: restrictions keep bridging visa holders trapped in, and out, of Australia",2022-01-20T16:30:06Z,-0.5267,negative,visa-related
"Nearly 1,400 Afghans granted emergency visas never made it to Australia",2022-04-05T09:21:47Z,-0.1531,negative,emergency visas
Australia is reopening but thousands of humanitarian visa holders remain stranded overseas,2021-11-17T03:41:38Z,0.0,neutral,social policy
"Australia has become a ‘guest worker state’ exploiting temporary visa holders, report reveals",2021-12-01T16:30:02Z,-0.4404,negative,temporary migration
"Australia has become a ‘guest worker state’ exploiting temporary visa holders, report reveals",2021-12-01T16:30:02Z,-0.4404,negative,temporary migration
Harvest looms but doubts remain about Australia’s promised agricultural visa,2021-09-22T17:30:27Z,0.0387,negative,agriculture visa
Harvest looms but doubts remain about Australia’s promised agricultural visa,2021-09-22T17:30:27Z,0.0387,negative,agriculture visa
‘Not without my partner’: refugees forced to choose between family in Australia and chance of US visa,2022-02-03T16:30:00Z,-0.25,negative,asylum policy
Australia offers visa fee refund to lure international workers and students as Morrison defends handling of pandemic,2022-01-19T07:35:45Z,0.0,neutral,visa policy
Australia offers visa fee refund to lure international workers and students as Morrison defends handling of pandemic,2022-01-19T07:35:45Z,0.0,neutral,employment
"Trapped in travel limbo for years, visa holders consider giving up Australia to see family",2021-12-01T23:08:50Z,-0.25,negative,visa policy
"Trapped in travel limbo for years, visa holders consider giving up Australia to see family",2021-12-01T23:08:50Z,-0.25,negative,visa policy
"Morning mail: visa holders’ travel limbo, Jenkins review action urged, ",2021-12-01T19:48:32Z,0.0,neutral,visa policy
"Migration to Australia set to rebound to pre-pandemic levels, report finds",2023-01-02T14:00:18Z,0.0,neutral,economy
New Zealand stops taking visa applications from Afghans who assisted troops,2021-08-26T02:01:37Z,-0.1531,negative,international relations
New Zealand stops taking visa applications from Afghans who assisted troops,2021-08-26T02:01:37Z,-0.1531,negative,visa application
Novak Djokovic’s mother claims tennis star subjected to ‘torture’ after he wins visa court battle – as it happened,2022-01-10T15:03:48Z,0.2732,negative,key individuals
Novak Djokovic’s mother claims tennis star subjected to ‘torture’ after he wins visa court battle – as it happened,2022-01-10T15:03:48Z,0.2732,negative,visa policy
"Visas for international graduates could help solve worker shortage, think tank says",2022-03-21T16:30:30Z,0.3612,negative,education
"Visas for international graduates could help solve worker shortage, think tank says",2022-03-21T16:30:30Z,0.3612,negative,employment
As Australia’s economy recovers what must not return is the wage theft and abuse of short-term visa holders | Greg Jericho,2022-01-19T16:30:11Z,-0.6369,negative,economy
As Australia’s economy recovers what must not return is the wage theft and abuse of short-term visa holders | Greg Jericho,2022-01-19T16:30:11Z,-0.6369,negative,employment
As Australia’s economy recovers what must not return is the wage theft and abuse of short-term visa holders | Greg Jericho,2022-01-19T16:30:11Z,-0.6369,negative,temporary migration
NSW bans singing and dancing in venues and suspends elective surgery; Coalition defends Djokovic visa decision – As it happened,2022-01-07T07:37:16Z,0.0,neutral,government policy
NSW bans singing and dancing in venues and suspends elective surgery; Coalition defends Djokovic visa decision – As it happened,2022-01-07T07:37:16Z,0.0,neutral,controversies
Australian Christian Lobby criticises Scott Morrison for saying Ukrainians at ‘top of pile’ for visas,2022-03-02T16:30:44Z,-0.296,negative,controversies
Senate blocks visa cancellation bill as Labor accuses Coalition of backing out of bipartisan deal,2021-10-20T02:41:51Z,-0.4939,negative,visa policy
Senate blocks visa cancellation bill as Labor accuses Coalition of backing out of bipartisan deal,2021-10-20T02:41:51Z,-0.4939,negative,labor accuses coalition
Australians found to overwhelmingly support path to permanent residency for migrants on temporary visas,2022-02-01T16:30:02Z,0.296,neutral,migration policy
Australians found to overwhelmingly support path to permanent residency for migrants on temporary visas,2022-02-01T16:30:02Z,0.296,neutral,permanent residency
Australians found to overwhelmingly support path to permanent residency for migrants on temporary visas,2022-02-01T16:30:02Z,0.296,neutral,temporary migration
"Australia should grant temporary visas for all jobs earning over $70,000, report says",2022-03-15T16:30:07Z,0.3612,neutral,temporary migration
Judge orders New Zealand man who had visa revoked by Peter Dutton to be freed from detention,2021-11-19T08:11:30Z,0.0516,negative,legal issues
Judge orders New Zealand man who had visa revoked by Peter Dutton to be freed from detention,2021-11-19T08:11:30Z,0.0516,negative,key individuals
Judge orders New Zealand man who had visa revoked by Peter Dutton to be freed from detention,2021-11-19T08:11:30Z,0.0516,negative,key individuals
"Australia fast-tracked visas for Afghan army officers after warning of negative publicity, documents show",2022-03-28T22:30:06Z,-0.7269,negative,key individuals
"Australia fast-tracked visas for Afghan army officers after warning of negative publicity, documents show",2022-03-28T22:30:06Z,-0.7269,negative,controversies
"Peter Dutton’s migration cuts would cost budget $34bn over coming decades, thinktank calculates",2024-05-20T07:06:22Z,-0.296,negative,key individuals
"Peter Dutton’s migration cuts would cost budget $34bn over coming decades, thinktank calculates",2024-05-20T07:06:22Z,-0.296,negative,economy
"Peter Dutton’s migration cuts would cost budget $34bn over coming decades, thinktank calculates",2024-05-20T07:06:22Z,-0.296,negative,migration policy
Afternoon Update: Taylor and Dutton at odds on migration; ‘Diddy’ faces new lawsuit; and Kiwi fined for trying to ‘body slam’ an orca,2024-05-22T07:02:17Z,-0.2263,negative,news
Afternoon Update: Taylor and Dutton at odds on migration; ‘Diddy’ faces new lawsuit; and Kiwi fined for trying to ‘body slam’ an orca,2024-05-22T07:02:17Z,-0.2263,negative,migration policy
Afternoon Update: Taylor and Dutton at odds on migration; ‘Diddy’ faces new lawsuit; and Kiwi fined for trying to ‘body slam’ an orca,2024-05-22T07:02:17Z,-0.2263,negative,legal issues
Afternoon Update: Taylor and Dutton at odds on migration; ‘Diddy’ faces new lawsuit; and Kiwi fined for trying to ‘body slam’ an orca,2024-05-22T07:02:17Z,-0.2263,negative,key events
O’Neil says migration system ‘broken’ – as it happened,2023-02-22T07:10:48Z,0.0,neutral,key individuals
O’Neil says migration system ‘broken’ – as it happened,2023-02-22T07:10:48Z,0.0,neutral,migration system
Albanese to welcome Chris Hipkins amid migration overhaul – as it happened,2023-04-22T06:23:35Z,0.4588,neutral,key individuals
Albanese to welcome Chris Hipkins amid migration overhaul – as it happened,2023-04-22T06:23:35Z,0.4588,neutral,migration policy
Guardian Essential poll: majority of Australians support rent freezes and migration cap amid housing crisis,2023-05-29T15:00:04Z,-0.3612,negative,economy
Guardian Essential poll: majority of Australians support rent freezes and migration cap amid housing crisis,2023-05-29T15:00:04Z,-0.3612,negative,economy
Guardian Essential poll: majority of Australians support rent freezes and migration cap amid housing crisis,2023-05-29T15:00:04Z,-0.3612,negative,migration policy
"Morning Mail: migration system is ‘broken’, Donald Trump accused of rape, Sydney’s ‘latte line’ deepens",2023-04-26T21:01:41Z,-0.7845,negative,migration system
"Morning Mail: migration system is ‘broken’, Donald Trump accused of rape, Sydney’s ‘latte line’ deepens",2023-04-26T21:01:41Z,-0.7845,negative,key individuals
"Morning Mail: migration system is ‘broken’, Donald Trump accused of rape, Sydney’s ‘latte line’ deepens",2023-04-26T21:01:41Z,-0.7845,negative,controversies
Budget reply speech 2023: Peter Dutton withholds support for jobseeker boost and doubles down on migration attacks,2023-05-11T10:31:01Z,0.3612,negative,government policy
Budget reply speech 2023: Peter Dutton withholds support for jobseeker boost and doubles down on migration attacks,2023-05-11T10:31:01Z,0.3612,negative,key individuals
Budget reply speech 2023: Peter Dutton withholds support for jobseeker boost and doubles down on migration attacks,2023-05-11T10:31:01Z,0.3612,negative,employment
Budget reply speech 2023: Peter Dutton withholds support for jobseeker boost and doubles down on migration attacks,2023-05-11T10:31:01Z,0.3612,negative,migration policy
Unusual sightings of ‘devil bird’ across Melbourne raise migration mysteries for researchers,2023-01-25T14:00:23Z,0.0,neutral,community events
Unusual sightings of ‘devil bird’ across Melbourne raise migration mysteries for researchers,2023-01-25T14:00:23Z,0.0,neutral,community events
Unusual sightings of ‘devil bird’ across Melbourne raise migration mysteries for researchers,2023-01-25T14:00:23Z,0.0,neutral,migration policy
"Increased migration must come with planning and expanded services, councils say",2022-09-02T07:46:00Z,0.2732,neutral,government policy
Daniel Andrews backs federal plan to boost migration – as it happened,2022-08-14T07:56:26Z,0.3612,neutral,key individuals
Daniel Andrews backs federal plan to boost migration – as it happened,2022-08-14T07:56:26Z,0.3612,neutral,government policy
Labor vows to prioritise Australian jobs as it eyes migration boost ,2022-08-14T08:17:29Z,0.4019,neutral,government policy
Labor vows to prioritise Australian jobs as it eyes migration boost ,2022-08-14T08:17:29Z,0.4019,neutral,employment
Labor vows to prioritise Australian jobs as it eyes migration boost ,2022-08-14T08:17:29Z,0.4019,neutral,migration policy
"Business lobby calls to open temporary skilled migration to all jobs earning more than $90,000",2022-08-26T20:00:02Z,0.0258,neutral,economy
"Business lobby calls to open temporary skilled migration to all jobs earning more than $90,000",2022-08-26T20:00:02Z,0.0258,neutral,work visa
"Refugee children handed anti-‘illegal migration’ playing cards, Australian charity says",2022-05-25T17:30:43Z,0.5574,positive,refugee visa
"Refugee children handed anti-‘illegal migration’ playing cards, Australian charity says",2022-05-25T17:30:43Z,0.5574,positive,controversies
"Refugee children handed anti-‘illegal migration’ playing cards, Australian charity says",2022-05-25T17:30:43Z,0.5574,positive,key events
Understaffed sectors join NSW and Victorian premiers in calling for improved skill migration,2022-06-02T17:30:06Z,0.6486,positive,government policy
Understaffed sectors join NSW and Victorian premiers in calling for improved skill migration,2022-06-02T17:30:06Z,0.6486,positive,skilled migration
New clues shed light on ‘pivotal’ moment in the great Pacific migration,2022-04-22T20:00:34Z,0.6249,positive,migration policy
New clues shed light on ‘pivotal’ moment in the great Pacific migration,2022-04-22T20:00:34Z,0.6249,positive,key events
New clues shed light on ‘pivotal’ moment in the great Pacific migration,2022-04-22T20:00:34Z,0.6249,positive,migration policy
Former federal Labor MP Craig Thomson charged over alleged migration fraud,2021-11-17T02:59:26Z,-0.6808,negative,government policy
Former federal Labor MP Craig Thomson charged over alleged migration fraud,2021-11-17T02:59:26Z,-0.6808,negative,migration fraud
Former Labor MP Craig Thomson granted bail after being charged over alleged migration fraud,2021-11-18T06:14:58Z,-0.5574,negative,government policy
Former Labor MP Craig Thomson granted bail after being charged over alleged migration fraud,2021-11-18T06:14:58Z,-0.5574,negative,migration fraud
Cathedral bells ring out as New Zealand welcomes godwits after longest migration,2021-09-22T20:00:28Z,0.4019,neutral,news
Cathedral bells ring out as New Zealand welcomes godwits after longest migration,2021-09-22T20:00:28Z,0.4019,neutral,migration policy
Cathedral bells ring out as New Zealand welcomes godwits after longest migration,2021-09-22T20:00:28Z,0.4019,neutral,migration policy
Migration firm investigated over ads promising Vanuatu passports,2021-02-03T19:00:13Z,0.4019,neutral,migration policy
Migration firm investigated over ads promising Vanuatu passports,2021-02-03T19:00:13Z,0.4019,neutral,migration policy
"Prioritise skilled migrants over some returning Australians, migration committee advises",2021-03-18T07:04:12Z,0.0,neutral,skilled migration
"Prioritise skilled migrants over some returning Australians, migration committee advises",2021-03-18T07:04:12Z,0.0,neutral,migration policy
Orange-bellied parrots leave Tasmania in biggest ever numbers for annual migration,2021-04-22T07:57:08Z,-0.0516,negative,migration policy
Three members of Biloela family granted temporary bridging visas,2021-06-23T06:44:35Z,0.25,neutral,key individuals
Labor accuses Coalition of playing politics with ‘women and children’s lives’ in pushing visa cancellation bill,2021-10-14T16:30:07Z,-0.1531,negative,labor accuses coalition
Labor accuses Coalition of playing politics with ‘women and children’s lives’ in pushing visa cancellation bill,2021-10-14T16:30:07Z,-0.1531,negative,visa cancellation bill
